0,1,2,3,4,5,6
tbl_7207,0,0,0,5,0,28369
tbl_11022,0,0,0,0,0,28364
tbl_42632,0,0,0,0,0,0
tbl_44880,0,0,0,36,0,252
tbl_44871,0,0,0,0,0,72
tbl_44739,0,0,0,36,0,36
tbl_211425,0,0,0,250,503,500
tbl_319716,0,0,0,0,0,12
tbl_33570,0,55,0,0,7746,768
tbl_33595,0,55,0,0,8932,37
tbl_33623,0,55,0,0,7755,185
tbl_15850,0,0,0,0,12,0
tbl_179914,1,1,4,0,12,0
tbl_179948,1,0,2,0,12,0
tbl_169324,4,0,8,0,0,0
tbl_79572,0,7,0,0,0,0
tbl_79911,7,0,14,0,0,0
tbl_79968,0,7,0,0,0,0
tbl_80100,0,0,28,0,0,0
tbl_80178,6,326,89,0,0,0
tbl_80221,6,134,127,0,0,0
tbl_80223,0,58,0,0,9,0
tbl_80227,6,52,32,0,0,0
tbl_80234,0,72,68,0,0,1
tbl_80376,0,0,7,0,0,0
tbl_80426,0,7,7,0,0,0
tbl_80432,0,7,0,0,0,0
tbl_80473,0,7,14,0,0,0
tbl_91996,0,72,83,0,0,0
tbl_79540,7,0,7,0,0,0
tbl_92026,14,261,131,0,0,0
tbl_169323,8,0,9,0,0,0
tbl_40388,0,0,0,0,0,0
tbl_96488,12,13,299,0,0,0
tbl_79488,7,0,7,0,0,0
tbl_79729,6,6,33,0,0,0
tbl_79847,6,334,163,0,2,0
tbl_40393,0,0,0,0,0,0
tbl_79559,7,0,7,0,0,0
tbl_17672,10,5,20,0,0,0
tbl_40395,0,0,0,0,0,0
tbl_40392,0,0,0,0,0,0
tbl_21456,8,4,16,0,0,0
tbl_10364,10,5,20,0,0,0
tbl_79560,7,0,7,0,0,0
tbl_80438,6,6,31,0,0,0
tbl_44882,0,0,0,36,0,252
tbl_8577,0,44,6,0,0,8
tbl_9859,0,1903,134,0,33,34
tbl_10099,0,546,266,0,0,0
tbl_15826,0,21,0,0,0,0
tbl_17695,0,52,1,0,0,0
tbl_19103,0,488,66,0,0,30
tbl_19156,0,1113,70,0,0,0
tbl_19170,0,227,325,0,0,0
tbl_19181,0,1097,140,0,0,0
tbl_26789,10,35,0,0,0,0
tbl_26976,0,1866,54,0,18,1
tbl_29042,0,315,1,0,24,31
tbl_29188,0,416,28,1,0,16
tbl_140770,0,22,0,0,0,0
tbl_140885,14,14,82,0,0,0
tbl_140902,12,18,48,0,0,0
tbl_140963,12,25,56,0,0,0
tbl_141917,0,0,92,0,0,0
tbl_142143,0,13,0,0,0,0
tbl_142203,14,71,98,0,0,0
tbl_142211,12,25,42,0,0,0
tbl_142212,14,27,51,0,0,0
tbl_142226,0,0,47,0,0,0
tbl_142286,0,0,13,0,0,0
tbl_142329,14,35,42,0,0,0
tbl_142330,12,26,42,0,0,0
tbl_142371,14,27,44,0,0,0
tbl_142374,12,25,42,0,0,0
tbl_142418,14,168,121,0,0,0
tbl_182534,6,272,44,0,2,63
tbl_257825,10,0,18,0,0,0
tbl_20709,10,5,20,0,0,0
tbl_169330,8,0,9,0,0,0
tbl_79527,7,0,7,0,0,0
tbl_91895,0,164,0,0,0,0
tbl_91994,12,94,124,0,0,0
tbl_92001,14,14,131,0,0,0
tbl_92028,12,95,124,0,0,0
tbl_15844,0,0,0,0,63,2
tbl_15840,0,0,0,0,49,0
tbl_169329,8,0,9,0,0,0
tbl_44937,0,0,0,0,0,500
tbl_40399,0,0,0,0,0,0
tbl_40387,0,0,0,0,0,0
tbl_40398,0,0,0,0,0,0
tbl_15892,0,0,0,0,52,0
tbl_79516,7,0,7,0,0,0
tbl_79871,0,7,7,0,0,0
tbl_79523,7,0,7,0,0,0
tbl_15882,0,0,0,0,49,0
tbl_79558,7,0,7,0,0,0
tbl_79528,7,0,7,0,0,0
tbl_14698,10,5,20,0,0,0
tbl_79566,7,7,21,0,0,0
tbl_79633,7,27,75,0,0,0
tbl_179927,8,8,32,0,64,12
tbl_20635,10,5,20,0,0,0
tbl_21264,10,5,20,0,0,0
tbl_44873,0,0,0,0,0,72
